Sipariş No	Tedarikçi Barkod	Sipariş Miktarı	Tedarikçi Ürün Kodu	Tedarikçi Malzeme Adı	Kalem No	Stok Kodu	Stok Adı	Birim
SAS-5581743944	2604300668	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21170	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300656	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21180	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300660	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21190	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300640	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21200	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300667	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21210	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300662	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21220	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300655	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21230	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300639	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21240	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300663	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21250	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300661	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21260	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300649	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21270	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300638	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21280	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300665	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21290	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300654	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21300	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300637	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21310	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604291069	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21320	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290943	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21330	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290941	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21340	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290940	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21350	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290939	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21360	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604291071	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21370	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290949	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21380	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290948	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21390	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290947	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21400	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290944	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21410	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604291063	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21420	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604291049	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21430	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604291048	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21440	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604291062	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21450	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604300874	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21460	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300857	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21470	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300860	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21480	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300873	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21490	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604301021	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21500	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300859	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21510	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300862	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21520	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604301020	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21530	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300875	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21540	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300863	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21550	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300854	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21560	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604301038	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21570	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300872	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21580	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300861	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21590	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604301022	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21600	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300852	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21610	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300871	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21620	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
