Sipariş No	Tedarikçi Barkod	Sipariş Miktarı	Tedarikçi Ürün Kodu	Tedarikçi Malzeme Adı	Kalem No	Stok Kodu	Stok Adı	Birim
SAS-5581743944	2604290374	2	120579484	27 FLEXI DUZ GRI 198x158x21,5	18960	HASUPL11970	SUNGER PU PLAKA 27 DNS GRI 198X158X21,5 FLEXI DUZ	Adet
SAS-5581743944	2604290375	2	120579484	27 FLEXI DUZ GRI 198x158x21,5	18970	HASUPL11970	SUNGER PU PLAKA 27 DNS GRI 198X158X21,5 FLEXI DUZ	Adet
SAS-5581743944	2604290786	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	18980	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290789	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	18990	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290790	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	19000	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290850	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	19010	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290858	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	19020	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290862	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	19030	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290863	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	19040	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290867	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	19050	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290430	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19060	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290438	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19070	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290436	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19080	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290440	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19090	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290444	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19100	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290415	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19110	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290414	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19120	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290417	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19130	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290418	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19140	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290445	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19150	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290450	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19160	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290460	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19170	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290462	2	120577755	27 FLEXI DUZ GRI 188x158x23,5	19180	HASUPL11905	SUNGER PU PLAKA 27 DNS GRI 188X158X23,5 FLEXI DUZ	Adet
